x,y,averaged_value
2937,1826,68.96551724137932
2937,626,39.08045977011494
633,1346,71.26436781609196
3705,386,79.3103448275862
3321,1826,64.36781609195403
1401,1346,75.86206896551724
3321,146,54.02298850574713
3705,626,77.01149425287356
2553,146,34.48275862068966
633,1826,55.172413793103445
2169,1586,73.5632183908046
1785,146,6.89655172413793
3321,386,81.60919540229885
2553,2066,83.9080459770115
2937,386,51.724137931034484
633,626,10.34482758620689
2937,2066,81.60919540229885
3705,1106,51.724137931034484
2169,2066,100.0
3705,2066,78.16091954022988
2169,386,75.86206896551724
1401,866,50.57471264367817
1401,146,3.44827586206896
1401,626,83.9080459770115
3321,626,50.57471264367817
2765,1591,50.0
249,1586,48.275862068965516
3149,631,83.0
1401,1106,72.41379310344827
3533,2071,74.0
249,2066,13.79310344827586
2381,391,59.0
633,1586,12.643678160919539
3533,151,91.0
633,146,14.94252873563218
1460,1035,49.43820224719101
1997,2071,100.0
2169,1106,48.275862068965516
308,75,12.35955056179775
77,1111,99.0
578,1322,43.0
2553,386,51.724137931034484
692,555,15.73033707865168
1997,1591,0.0
2553,626,58.620689655172406
1460,75,19.10112359550561
845,2071,99.0
962,1322,23.0
1785,2066,11.49425287356321
308,1755,52.80898876404494
3149,1351,61.0
2498,1802,63.0
1997,151,98.0
2612,1995,41.57303370786517
77,1831,99.0
2114,362,72.0
3149,1831,79.0
1017,626,62.06896551724138
692,1755,44.9438202247191
1076,315,52.80898876404494
845,1591,50.0
1017,1586,19.54022988505747
2228,1995,73.03370786516854
461,391,65.0
3266,122,67.0
2996,75,55.0561797752809
461,1591,39.0
1730,1562,51.0
2996,1995,80.89887640449437
2334,1619,5.49450549450549
2937,1346,93.10344827586208
1460,555,64.04494382022472
3533,1591,31.0
1785,1586,77.01149425287356
1950,899,63.73626373626373
2765,151,100.0
2937,146,74.71264367816092
1460,1275,83.14606741573034
1613,631,99.0
3486,1139,25.274725274725267
2169,866,73.5632183908046
845,391,98.0
2882,602,39.0
30,1619,7.69230769230769
2765,871,5.0
1460,1995,40.44943820224719
3705,1826,77.01149425287356
2937,1106,87.35632183908046
77,1351,100.0
1182,899,45.05494505494505
962,362,86.0
3380,75,24.7191011235955
3705,1586,6.89655172413793
3533,871,99.0
2334,1379,21.97802197802197
1017,1826,81.60919540229885
3266,1562,72.0
3533,631,99.0
2612,1275,100.0
2334,899,51.64835164835166
1997,631,91.0
692,1515,60.67415730337079
2553,1106,81.60919540229885
962,122,94.0
1613,391,98.0
414,1139,13.186813186813179
77,1591,99.0
1376,1485,4.12371134020618
308,555,19.10112359550561
798,1379,39.56043956043956
1017,866,44.827586206896555
2114,842,53.0
3764,75,14.606741573033698
2528,1245,3.09278350515463
1017,386,17.24137931034483
1566,1859,71.42857142857143
308,795,11.235955056179769
692,1995,13.48314606741573
2937,1586,87.35632183908046
2718,1859,95.60439560439559
2528,1485,8.24742268041237
2228,1515,25.842696629213478
1229,151,99.0
224,525,97.9381443298969
1785,1106,87.35632183908046
3266,602,50.0
3764,1995,51.68539325842697
1566,419,34.06593406593406
1613,871,37.0
1401,386,12.643678160919539
3680,765,95.87628865979381
692,315,10.112359550561791
1730,602,59.0
2765,1351,3.0
1182,419,5.49450549450549
1076,1515,75.28089887640449
2169,1346,81.60919540229885
1760,285,95.87628865979381
3650,122,69.0
77,2071,98.0
2228,75,34.8314606741573
1182,659,20.87912087912088
1376,1965,97.9381443298969
2169,1826,77.01149425287356
3533,1831,97.0
1844,1275,97.75280898876404
1182,1379,4.39560439560439
224,765,89.69072164948454
2381,1351,16.0
2553,1346,81.60919540229885
1785,1346,60.91954022988506
1950,659,46.15384615384615
308,1515,97.75280898876404
1229,1111,25.0
608,1485,73.19587628865979
194,602,100.0
2937,866,29.88505747126437
1997,871,35.0
1460,1755,83.14606741573034
1950,2099,25.274725274725267
2718,290,56.00000000000001
2144,1245,8.24742268041237
1017,146,10.34482758620689
1997,391,98.0
1844,1755,87.64044943820225
2114,1082,21.0
2718,1619,37.36263736263736
1412,1767,1.0
3380,1515,74.15730337078652
1785,1826,79.3103448275862
2528,1005,2.06185567010309
1997,1351,0.0
3102,179,31.86813186813186
308,1275,65.1685393258427
1017,1106,74.71264367816092
992,1245,3.09278350515463
3380,1035,38.20224719101123
2498,842,37.0
2169,146,4.59770114942528
3102,290,87.0
414,1619,26.37362637362637
3764,1515,15.73033707865168
3716,1767,1.0
3149,1111,42.0
2553,1586,79.3103448275862
2612,315,33.70786516853932
2381,1111,28.000000000000004
1182,1139,84.61538461538461
1950,770,85.0
2528,1725,28.865979381443292
1844,1995,11.235955056179769
3705,1346,80.45977011494253
224,285,90.72164948453609
461,1831,46.0
414,899,23.07692307692307
3764,1035,24.7191011235955
2114,1322,4.0
2334,1250,100.0
644,327,1.0
2381,1591,99.0
1566,659,47.25274725274725
3705,866,57.47126436781609
3533,1351,99.0
2612,1035,84.26966292134831
2144,1725,72.16494845360825
3266,362,63.0
1076,555,35.95505617977528
3486,1490,84.0
3680,1485,87.62886597938144
414,659,4.39560439560439
633,866,27.58620689655172
308,1995,19.10112359550561
2996,795,61.79775280898876
3332,1767,99.0
578,2042,100.0
2381,871,52.0
1182,2099,51.64835164835166
249,1106,17.24137931034483
1844,1035,85.39325842696628
1613,151,97.0
1017,1346,73.5632183908046
1182,50,7.000000000000001
3650,362,73.0
2528,765,11.34020618556701
3149,871,99.0
