x,y,averaged_value
2375,993,72.44897959183673
455,1233,33.6734693877551
2375,1953,20.40816326530612
1223,1713,8.16326530612244
1607,273,15.30612244897959
3527,33,6.122448979591829
3143,1953,32.65306122448979
669,988,58.620689655172406
2589,508,63.2183908045977
1264,1625,83.9506172839506
1821,1708,62.06896551724138
3568,1145,60.49382716049383
2205,748,48.275862068965516
455,513,7.14285714285714
1648,1385,79.01234567901234
273,342,10.1010101010101
3184,1865,12.34567901234567
2577,822,100.0
3568,185,18.51851851851851
1607,33,0.0
1437,508,22.988505747126432
496,425,6.1728395061728305
1809,1542,96.96969696969695
1264,425,7.4074074074074
1821,508,28.735632183908038
1264,1145,72.8395061728395
3527,1233,25.510204081632647
2961,102,93.93939393939394
496,1145,19.753086419753078
2973,748,82.75862068965517
237,378,2.1276595744680797
2375,1233,68.36734693877551
2800,1865,100.0
1053,1468,83.9080459770115
1425,822,64.64646464646465
3287,1022,59.0
2032,185,20.98765432098765
3527,513,10.20408163265306
3741,268,4.59770114942528
2800,2105,92.59259259259261
215,62,2.0
1425,1542,94.94949494949496
621,1338,18.08510638297872
2032,905,72.8395061728395
2416,1625,58.0246913580247
71,993,0.0
3671,1262,0.0
657,2022,0.0
2032,1865,50.617283950617285
1437,268,0.0
40,960,2.0
1389,618,9.57446808510638
215,542,2.0
2416,2105,79.01234567901234
1960,1440,4.0
2375,753,45.91836734693877
3184,185,22.22222222222222
3729,1062,44.44444444444444
1192,0,2.0
2205,508,56.32183908045977
2157,1578,27.659574468085108
2903,1742,66.0
1560,906,36.734693877551024
2800,665,66.66666666666666
1991,513,30.61224489795918
1576,1440,54.0
2712,1146,97.9591836734694
1264,665,41.9753086419753
2961,342,100.0
1053,1948,97.70114942528735
1960,480,90.0
496,1865,77.77777777777779
844,1992,89.8989898989899
3671,1982,100.0
2416,1145,88.88888888888889
1389,858,35.1063829787234
408,666,4.08163265306122
1176,666,15.30612244897959
3496,1680,40.0
496,2105,22.22222222222222
3287,302,68.0
2193,2022,98.98989898989899
1991,1473,86.73469387755102
2589,1468,54.02298850574713
2764,792,9.09090909090909
2328,666,40.81632653061224
880,1385,72.8395061728395
1192,240,5.0
2380,1512,91.91919191919192
408,1866,29.59183673469387
808,1200,86.0
1648,905,72.8395061728395
1005,138,0.0
1809,822,96.96969696969695
2973,268,66.66666666666666
1612,312,98.98989898989899
880,665,35.80246913580246
2903,62,46.0
3143,33,35.71428571428571
2712,666,64.28571428571429
112,1385,43.209876543209866
1192,1440,10.0
2764,312,98.98989898989899
3729,1302,34.34343434343434
2541,858,71.27659574468085
3532,1032,87.87878787878788
2135,1502,72.0
792,1146,38.775510204081634
2416,185,54.32098765432099
3741,508,2.29885057471264
839,273,19.38775510204081
1356,1818,100.0
76,792,93.93939393939394
808,720,9.0
496,185,11.11111111111111
669,28,1.14942528735632
273,1302,98.98989898989899
1944,186,19.38775510204081
1193,1322,66.66666666666666
1612,1272,10.1010101010101
1960,0,3.0
2519,782,84.0
2800,1145,82.71604938271605
3527,1713,50.0
3497,1562,29.166666666666668
1996,792,11.11111111111111
621,858,27.659574468085108
2519,302,65.0
2193,1302,97.97979797979798
3276,2058,99.0
424,1920,99.0
2032,425,59.25925925925925
1176,906,28.57142857142857
3357,988,4.59770114942528
1560,666,26.53061224489796
2380,1752,17.17171717171717
1751,1262,79.0
3143,273,39.795918367346935
2800,425,81.48148148148148
1349,1342,1.13636363636363
41,842,94.79166666666666
1041,1542,79.7979797979798
2925,618,79.7872340425532
3496,240,6.0
2589,28,2.29885057471264
2416,1865,44.44444444444444
408,1626,44.89795918367347
112,185,23.456790123456788
669,1228,29.88505747126437
2728,480,36.0
657,342,23.23232323232323
972,138,100.0
1996,1272,0.0
3184,1145,30.86419753086419
2759,1713,46.93877551020408
3653,142,5.68181818181818
2345,1562,47.91666666666667
2903,1262,98.0
1053,748,32.18390804597701
2344,720,86.0
237,858,1.0638297872340399
2729,1322,71.875
2328,1386,32.65306122448979
983,62,2.0
2032,2105,64.19753086419753
204,618,100.0
1223,1473,31.63265306122449
3345,1302,100.0
2589,988,81.60919540229885
1560,2106,34.69387755102041
496,1385,49.38271604938271
1960,1200,32.0
3148,1032,4.04040404040404
581,382,15.909090909090908
2729,1802,12.5
2903,782,98.0
1961,2042,13.54166666666666
1437,28,2.29885057471264
839,1713,15.30612244897959
972,378,99.0
24,2106,29.59183673469387
1425,102,52.52525252525253
2344,1680,100.0
1389,378,3.1914893617021196
3113,602,17.70833333333333
204,138,100.0
2416,905,59.25925925925925
273,1542,98.98989898989899
1821,988,97.70114942528735
425,1082,48.95833333333333
197,1342,5.68181818181818
3184,1625,39.50617283950617
3112,720,9.0
792,186,4.08163265306122
1991,1953,5.10204081632653
3148,792,86.86868686868688
408,426,8.16326530612244
273,582,16.16161616161616
2729,122,13.54166666666666
1264,1865,22.22222222222222
1821,268,17.24137931034483
40,1920,94.0
599,302,1.0
3693,1098,11.70212765957446
112,905,24.69135802469135
3497,1802,15.625
2712,1386,100.0
2961,1782,100.0
1223,273,3.0612244897959098
40,1440,1.0
669,1468,19.54022988505747
2032,1625,59.25925925925925
1228,792,92.92929292929291
425,122,9.375
1733,1342,35.22727272727273
1944,666,15.30612244897959
1648,665,46.913580246913575
839,1953,9.18367346938775
2508,138,0.0
1192,480,0.0
3497,1322,76.04166666666666
1005,378,3.1914893617021196
2973,1228,72.41379310344827
460,1752,90.90909090909092
3287,1262,40.0
2729,1082,12.5
1264,2105,27.160493827160494
1944,426,4.08163265306122
3096,1626,3.0612244897959098
1053,268,8.04597701149425
424,720,1.0
455,753,5.10204081632653
880,425,29.629629629629626
2076,412,70.88607594936708
460,552,100.0
3480,666,8.16326530612244
1577,1562,22.91666666666666
3671,1022,1.0
3112,1440,20.0
2508,378,99.0
3309,138,15.957446808510639
2729,362,0.0
2501,1822,3.4090909090909
2603,732,81.33333333333333
2589,1228,90.80459770114943
1228,312,96.96969696969695
792,1866,4.08163265306122
3612,1132,73.41772151898735
424,0,1.0
809,1322,16.66666666666666
285,508,4.59770114942528
2375,1473,3.0612244897959098
974,432,15.55555555555555
880,905,38.271604938271594
1612,552,98.98989898989899
2844,412,59.49367088607595
41,1562,83.33333333333334
204,1818,1.0
2541,1578,97.87234042553192
1991,33,1.0204081632653
112,1625,32.09876543209876
285,1468,72.41379310344827
425,2042,83.33333333333334
844,1512,6.06060606060606
3096,666,76.53061224489795
3112,1920,49.0
1356,1098,100.0
1996,1032,7.07070707070707
3497,602,84.375
2973,508,58.620689655172406
1648,1625,35.80246913580246
215,1742,3.0
3096,906,60.204081632653065
3148,72,97.97979797979798
2892,378,99.0
3143,513,40.81632653061224
1692,652,50.63291139240506
2416,425,46.913580246913575
285,1228,59.77011494252874
3532,1512,94.94949494949496
3497,122,7.29166666666666
3228,1132,60.75949367088608
496,665,17.28395061728395
3113,1562,12.5
844,792,91.91919191919192
2541,1338,94.68085106382979
1264,1385,51.85185185185185
2519,1502,40.0
3480,1866,87.75510204081633
2729,1562,22.91666666666666
2117,382,1.13636363636363
880,1625,29.629629629629626
2764,1752,91.91919191919192
285,1708,8.04597701149425
2328,186,35.71428571428571
455,1953,30.61224489795918
657,822,11.11111111111111
3276,1098,99.0
