id,date,trial_time,value,x,y,word_one,word_two,trial_number,chunk_number,prolific_id,study_id,session_id,averaged_value
10892,2025-05-24T06:27:43.400Z,5514,71,71,33,Less Good for Danger Signal,More Good for Danger Signal,1,58,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.7244897959183674
10901,2025-05-24T06:27:46.308Z,2908,33,71,33,Less Good for Danger Signal,More Good for Danger Signal,2,14,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.336734693877551
10909,2025-05-24T06:27:49.262Z,2954,20,71,33,Less Good for Danger Signal,More Good for Danger Signal,3,62,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.20408163265306123
10915,2025-05-24T06:27:52.671Z,3409,8,71,33,Less Good for Danger Signal,More Good for Danger Signal,4,34,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.08163265306122448
10927,2025-05-24T06:27:56.262Z,3591,15,71,33,Less Good for Danger Signal,More Good for Danger Signal,5,37,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.15306122448979592
10935,2025-05-24T06:27:59.186Z,2924,6,71,33,Less Good for Danger Signal,More Good for Danger Signal,6,81,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.061224489795918366
10949,2025-05-24T06:28:03.165Z,3979,32,71,33,Less Good for Danger Signal,More Good for Danger Signal,7,80,67364113bdafe2840fa05b69,6831645a117adaf53d93ee44,6831663645542de5feaf88c5,0.32653061224489793
10958,2025-05-24T06:28:05.795Z,6082,51,285,28,Less Good for Danger Signal,More Good for Danger Signal,1,13,5d4cdd05421a460018d005e0,6831645a117adaf53d93ee44,6831663e42c577bcddcbeed2,0.5862068965517241
10966,2025-05-24T06:28:08.254Z,2459,55,285,28,Less Good for Danger Signal,More Good for Danger Signal,2,56,5d4cdd05421a460018d005e0,6831645a117adaf53d93ee44,6831663e42c577bcddcbeed2,0.632183908045977
10974,2025-05-24T06:28:10.549Z,2958,85,112,185,Less Good for Danger Signal,More Good for Danger Signal,1,33,6740a2f2bae870caa18ae1ef,6831645a117adaf53d93ee44,6831668c8e8744cbd9d36c06,0.8395061728395061
