x,y,averaged_value
925,1654,70.17543859649122
157,694,70.17543859649122
3229,1894,71.9298245614035
2845,934,66.66666666666666
541,934,57.89473684210527
1693,454,54.385964912280706
2077,214,45.61403508771929
1309,1414,42.105263157894726
1309,1894,42.105263157894726
1309,694,71.9298245614035
925,934,47.36842105263157
3229,214,33.33333333333333
1693,1174,68.42105263157895
3613,694,52.63157894736842
1309,1654,47.36842105263157
3229,2134,40.35087719298245
541,1654,73.68421052631578
541,1894,43.85964912280701
2845,694,12.28070175438596
2845,1174,43.85964912280701
925,694,19.298245614035082
2461,1414,66.66666666666666
2461,1894,52.63157894736842
157,1654,49.12280701754385
541,1174,78.94736842105263
2077,934,50.877192982456144
157,1174,38.59649122807017
157,454,38.59649122807017
2077,1894,50.877192982456144
1693,1654,26.31578947368421
1309,214,66.66666666666666
3229,1654,56.14035087719298
2077,1414,5.26315789473684
2077,1174,29.82456140350877
2461,934,59.64912280701754
157,2134,29.82456140350877
2845,454,64.91228070175438
925,1414,38.59649122807017
1693,934,64.91228070175438
1309,454,28.07017543859649
541,1414,47.36842105263157
2461,454,59.64912280701754
1693,214,29.82456140350877
1693,1414,66.66666666666666
925,2134,40.35087719298245
3613,214,42.105263157894726
3229,1174,43.85964912280701
2461,1174,29.82456140350877
3229,934,59.64912280701754
1693,694,80.7017543859649
2461,214,68.42105263157895
3613,1894,64.91228070175438
3613,454,50.877192982456144
925,1174,68.42105263157895
1454,1381,5.49450549450549
3229,694,52.63157894736842
541,694,61.40350877192983
925,214,54.385964912280706
541,214,68.42105263157895
2845,1894,50.877192982456144
686,901,10.98901098901098
925,1894,64.91228070175438
157,934,49.12280701754385
2077,2134,61.40350877192983
1454,181,85.71428571428571
3374,181,8.79120879120879
2769,2110,67.81609195402298
2385,1150,66.66666666666666
2385,2110,85.0574712643678
849,670,55.172413793103445
2606,1381,6.5934065934065895
2232,806,0.0
1978,317,97.9591836734694
3537,1150,65.51724137931035
2746,1517,0.0
3153,1870,57.47126436781609
1978,797,95.91836734693877
1848,806,0.0
826,1517,90.81632653061223
157,214,33.33333333333333
1978,1517,95.91836734693877
3613,2134,50.877192982456144
2077,454,42.105263157894726
58,1277,95.91836734693877
465,670,73.5632183908046
81,430,80.45977011494253
3153,1150,65.51724137931035
1070,661,84.61538461538461
157,1894,42.105263157894726
312,1766,4.0
157,1414,57.89473684210527
3074,860,68.68686868686868
58,317,97.9591836734694
3153,670,74.71264367816092
1309,1174,87.71929824561403
1309,934,64.91228070175438
2616,806,0.0
3229,1414,36.84210526315789
386,140,0.0
925,454,78.94736842105263
1210,1757,91.83673469387756
1309,2134,47.36842105263157
1233,1870,77.01149425287356
1454,901,79.12087912087912
2616,1286,0.0
2845,2134,89.47368421052632
465,1390,68.96551724137932
3514,557,69.38775510204081
3613,1414,52.63157894736842
3229,454,22.80701754385964
826,1757,96.93877551020408
1233,670,43.67816091954023
2845,1414,47.36842105263157
3458,860,8.08080808080808
3130,797,89.79591836734694
1848,326,52.0
1617,430,48.275862068965516
2461,2134,15.78947368421052
2222,1861,7.69230769230769
1210,77,98.97959183673468
465,430,73.5632183908046
541,2134,100.0
2306,620,19.19191919191919
849,190,32.18390804597701
1693,2134,66.66666666666666
3514,1037,90.81632653061223
3758,181,90.10989010989012
541,454,57.89473684210527
3130,1037,93.87755102040816
3514,1517,97.9591836734694
3613,1174,68.42105263157895
2306,2060,0.0
465,1870,60.91954022988506
3000,2006,3.0
3153,2110,9.19540229885057
1978,1277,97.9591836734694
1693,1894,14.03508771929824
1210,557,95.91836734693877
2690,2060,1.01010101010101
2845,1654,61.40350877192983
2746,797,95.91836734693877
2077,694,17.5438596491228
302,1381,5.49450549450549
3537,430,0.0
1594,1037,92.85714285714286
696,1766,55.00000000000001
1617,1630,42.5287356321839
2461,1654,0.0
2362,1037,89.79591836734694
81,1150,24.137931034482758
2845,214,54.385964912280706
302,1861,81.31868131868131
3613,1654,80.7017543859649
3074,1100,79.7979797979798
258,1383,19.38775510204081
1233,1390,75.86206896551724
442,797,91.83673469387756
2461,694,59.64912280701754
