id,date,trial_time,value,x,y,word_one,word_two,trial_number,chunk_number,prolific_id,study_id,session_id,averaged_value
19649,2025-06-05T21:43:58.523Z,3684,55,157,214,Less Good for Safe Signal,More Good for Safe Signal,1,24,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.7017543859649122
19650,2025-06-05T21:43:59.617Z,1094,55,157,214,Less Good for Safe Signal,More Good for Safe Signal,2,2,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.7017543859649122
19651,2025-06-05T21:44:00.582Z,965,56,157,214,Less Good for Safe Signal,More Good for Safe Signal,3,79,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.7192982456140351
19652,2025-06-05T21:44:01.441Z,859,53,157,214,Less Good for Safe Signal,More Good for Safe Signal,4,66,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.6666666666666666
19653,2025-06-05T21:44:02.721Z,1280,48,157,214,Less Good for Safe Signal,More Good for Safe Signal,5,12,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.5789473684210527
19654,2025-06-05T21:44:03.631Z,910,46,157,214,Less Good for Safe Signal,More Good for Safe Signal,6,37,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.543859649122807
19655,2025-06-05T21:44:04.367Z,736,41,157,214,Less Good for Safe Signal,More Good for Safe Signal,7,45,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.45614035087719296
19656,2025-06-05T21:44:05.098Z,731,39,157,214,Less Good for Safe Signal,More Good for Safe Signal,8,32,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.42105263157894735
19657,2025-06-05T21:44:05.914Z,816,39,157,214,Less Good for Safe Signal,More Good for Safe Signal,9,34,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.42105263157894735
19658,2025-06-05T21:44:06.525Z,611,56,157,214,Less Good for Safe Signal,More Good for Safe Signal,10,29,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.7192982456140351
19659,2025-06-05T21:44:07.508Z,983,42,157,214,Less Good for Safe Signal,More Good for Safe Signal,11,21,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.47368421052631576
19660,2025-06-05T21:44:08.888Z,1380,34,157,214,Less Good for Safe Signal,More Good for Safe Signal,12,72,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.3333333333333333
19662,2025-06-05T21:44:10.170Z,1282,54,157,214,Less Good for Safe Signal,More Good for Safe Signal,13,40,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.6842105263157895
19664,2025-06-05T21:44:11.498Z,1328,45,157,214,Less Good for Safe Signal,More Good for Safe Signal,14,83,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.5263157894736842
19665,2025-06-05T21:44:12.372Z,874,42,157,214,Less Good for Safe Signal,More Good for Safe Signal,15,33,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.47368421052631576
19666,2025-06-05T21:44:13.096Z,724,38,157,214,Less Good for Safe Signal,More Good for Safe Signal,16,80,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a,0.40350877192982454
