x,y,averaged_value
3551,1166,3.125
479,206,94.79166666666666
1247,1406,5.20833333333333
15,2040,1.0204081632653
3551,2126,62.5
399,360,2.04081632653061
2092,1956,65.0
2015,206,91.66666666666666
1935,2040,3.0612244897959098
940,1236,71.0
2783,686,22.91666666666666
3471,1560,85.71428571428571
863,926,27.083333333333332
1551,2040,67.3469387755102
2476,1476,64.0
1551,120,19.38775510204081
95,1406,89.58333333333334
1708,516,48.0
3652,1048,99.0
2703,600,95.91836734693877
196,1048,2.0
3167,686,19.79166666666666
1324,516,39.0
783,1320,68.36734693877551
196,328,1.0
3169,1962,32.631578947368425
95,1646,60.416666666666664
1935,840,60.204081632653065
580,328,2.0
1633,522,21.05263157894736
3087,1560,96.93877551020408
2399,1406,55.208333333333336
783,600,7.14285714285714
3652,2008,98.0
1759,1232,97.22222222222221
2860,756,74.0
481,522,6.31578947368421
1935,120,5.10204081632653
2399,2126,98.95833333333334
964,568,3.0
1375,752,25.0
1935,1800,100.0
1324,276,15.0
2527,512,19.44444444444444
1631,1166,0.0
1167,1800,4.08163265306122
2401,1002,60.0
940,36,10.0
2884,88,98.0
1732,1288,98.0
607,752,43.05555555555556
1631,2126,91.66666666666666
15,1800,0.0
2116,568,97.0
865,1482,98.94736842105264
15,600,1.0204081632653
2476,756,67.0
863,1406,5.20833333333333
964,808,98.0
783,1080,21.42857142857142
481,1962,44.21052631578947
1551,1080,31.63265306122449
1348,1528,98.0
3376,34,28.125
1375,1472,30.555555555555557
3628,36,0.0
2015,446,56.25
97,1242,5.26315789473684
991,1952,31.944444444444443
2224,514,44.79166666666667
3087,1800,82.6530612244898
1732,2008,1.0
2911,1232,29.166666666666668
3471,840,50.0
580,1528,98.0
3169,42,8.42105263157894
304,514,2.08333333333333
3551,446,64.58333333333334
3244,1476,82.0
1935,360,30.61224489795918
3295,1472,22.22222222222222
2116,88,98.0
1832,1695,40.81632653061224
2224,34,7.29166666666666
3087,360,56.12244897959183
3652,1768,99.0
2476,1716,53.0
2527,272,54.166666666666664
15,1320,13.26530612244898
863,1886,58.333333333333336
3752,975,84.6938775510204
1980,980,15.66265060240964
2608,1234,76.04166666666666
1935,1320,90.81632653061223
2911,1712,27.77777777777778
2785,762,64.21052631578948
220,2058,2.85714285714285
1212,260,30.12048192771084
444,1700,73.49397590361446
1375,992,16.66666666666666
3244,36,15.0
1456,994,40.625
479,926,44.79166666666667
964,1048,99.0
3169,522,20.0
60,500,65.06024096385542
2116,2008,97.0
2884,568,96.0
1756,1818,98.57142857142858
3752,1455,57.14285714285714
1840,1234,62.5
2143,1712,69.44444444444444
940,276,4.0
3132,1940,62.65060240963856
1247,2126,87.5
964,1288,98.0
1840,1714,82.29166666666666
680,735,62.244897959183675
2364,20,72.28915662650603
2319,120,6.122448979591829
3760,1474,12.5
2908,2058,100.0
2399,206,25.0
2364,1700,51.80722891566265
3516,740,65.06024096385542
2860,1956,56.99999999999999
1633,1962,66.3157894736842
3087,120,37.75510204081632
688,1474,23.95833333333333
3516,1700,91.56626506024097
2500,88,96.0
2884,808,4.0
3368,15,72.44897959183673
3471,2040,53.06122448979592
1840,1954,26.041666666666668
3551,206,69.79166666666666
2527,992,27.77777777777778
1212,1220,100.0
2319,840,68.36734693877551
1249,1242,0.0
1324,1956,74.0
220,1338,98.57142857142858
1072,1714,27.083333333333332
2783,1406,0.0
2364,1460,93.97590361445785
196,568,2.0
3368,255,96.93877551020408
2319,600,54.08163265306123
97,1722,9.47368421052631
3471,1080,82.6530612244898
1072,1474,73.95833333333334
3132,1460,16.867469879518072
1348,808,3.0
2703,360,73.46938775510205
1596,260,73.49397590361446
2992,514,23.95833333333333
988,1578,98.57142857142858
2476,276,16.0
1212,1700,56.62650602409639
3551,926,54.166666666666664
15,360,2.04081632653061
865,1962,14.73684210526315
2015,1646,0.0
607,1232,72.22222222222221
3268,1768,99.0
3368,735,82.6530612244898
1596,980,63.85542168674698
964,2008,99.0
1456,1234,31.25
3295,1712,62.5
444,20,69.87951807228916
3167,206,67.70833333333334
2401,762,35.78947368421052
3676,1818,98.57142857142858
1348,2008,99.0
1072,1954,62.5
60,260,69.87951807228916
1759,752,76.38888888888889
3167,1886,67.70833333333334
2703,1800,68.36734693877551
3132,740,48.19277108433735
296,1215,52.04081632653062
172,1956,8.0
2608,1474,80.20833333333334
196,2008,1.0
2364,1940,60.24096385542169
3169,1482,94.73684210526316
2140,138,2.85714285714285
2992,754,54.166666666666664
1167,2040,13.26530612244898
2143,1952,23.61111111111111
1596,1700,9.63855421686747
2500,808,99.0
2399,1646,87.5
3316,547,42.85714285714285
2092,996,74.0
828,1700,89.1566265060241
2017,1482,98.94736842105264
2600,15,44.89795918367347
2527,1712,47.22222222222222
2992,1714,84.375
2783,1166,0.0
2116,1288,99.0
3087,1080,83.6734693877551
2748,740,72.28915662650603
1324,36,0.0
481,282,15.78947368421052
3471,120,11.22448979591836
196,1768,97.0
2608,1954,20.83333333333333
2748,1220,8.43373493975903
2140,858,98.57142857142858
3679,1712,26.38888888888889
1551,1800,19.38775510204081
865,762,22.10526315789473
3551,1646,45.83333333333333
828,260,77.10843373493977
688,994,42.70833333333333
556,996,7.000000000000001
3471,360,38.775510204081634
1012,307,52.38095238095239
223,32,5.55555555555555
2364,740,24.09638554216867
2500,1288,98.0
1249,42,4.21052631578947
3087,1320,75.51020408163265
2984,255,41.836734693877546
95,446,89.58333333333334
2524,138,98.57142857142858
3087,600,68.36734693877551
444,1940,25.3012048192771
3553,1242,6.31578947368421
3760,1234,1.04166666666666
991,752,2.77777777777777
1708,1716,61.0
2319,1320,98.97959183673468
3316,1507,73.80952380952381
828,980,36.144578313253014
479,1886,100.0
304,274,3.125
1852,932,100.0
1167,840,50.0
865,522,10.52631578947368
1732,1048,98.0
3268,1288,99.0
1596,500,85.54216867469879
220,858,2.85714285714285
1375,1952,63.888888888888886
3368,1695,28.57142857142857
1247,1166,0.0
688,514,4.16666666666666
940,996,54.0
2045,1259,81.53846153846153
1732,808,96.0
399,1800,63.26530612244898
863,2126,95.83333333333334
2401,1962,5.26315789473684
1855,1050,62.10526315789474
2224,1474,15.625
3132,1220,10.8433734939759
244,67,2.38095238095238
3268,88,98.0
1551,600,27.55102040816326
2911,1952,37.5
2748,1700,85.54216867469879
2092,36,11.0
1167,120,4.08163265306122
3760,514,20.83333333333333
3004,692,98.98989898989899
132,852,0.0
1631,1886,67.70833333333334
3292,618,2.85714285714285
1980,500,73.49397590361446
1633,1242,62.10526315789474
125,299,21.53846153846154
2984,975,33.6734693877551
3007,1530,61.05263157894737
964,328,3.0
2608,274,20.83333333333333
223,272,19.44444444444444
1935,1560,86.73469387755102
444,980,73.49397590361446
1631,1406,43.75
2820,132,92.0
2049,1738,95.18072289156626
2319,1800,96.93877551020408
1087,90,6.31578947368421
60,1220,69.87951807228916
304,1954,27.083333333333332
2785,1962,74.73684210526315
2911,992,22.22222222222222
2236,1892,98.98989898989899
60,980,51.80722891566265
1372,138,1.42857142857142
399,1560,100.0
2992,994,25.0
2817,1498,0.0
2399,926,6.25
3244,1956,61.0
580,88,2.0
196,1528,1.0
1551,360,3.0612244897959098
2364,1220,0.0
2623,1530,46.31578947368421
2932,1987,100.0
3295,272,70.83333333333334
3368,1935,33.6734693877551
125,1259,73.84615384615385
2820,1332,100.0
2015,1166,0.0
1840,34,23.95833333333333
828,1940,66.26506024096386
1665,1018,25.3012048192771
700,212,37.37373737373737
783,2040,72.44897959183673
3652,568,3.0
1375,1232,56.94444444444444
1456,514,30.208333333333332
