Subject,Status,Grade,ActualNumberRatio,Response_converted
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.0333333333333334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033332857142857,0
698a231eb1fe98dda75f2e9f,CP,adult,1.05,0
698a231eb1fe98dda75f2e9f,CP,adult,1.033334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.0499999999999998,1
698a231eb1fe98dda75f2e9f,CP,adult,1.333332857142857,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.333334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.333332857142857,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.033332857142857,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.05,1
698a231eb1fe98dda75f2e9f,CP,adult,1.0499999999999998,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.05,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
666a11d046107a56965a98f5,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033334,1
5b0481d17ac6e4000107e12a,CP,adult,1.3333333333333333,0
666a11d046107a56965a98f5,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.0499999999999998,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.033334,0
666a11d046107a56965a98f5,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.3333333333333333,1
666a11d046107a56965a98f5,CP,adult,1.05,1
